term,definition,category
abdomin/o,abdomen,Combining form
aden/o,gland,Combining form
amni/o,amnion (amniotic sac),Combining form
an/o,anus,Combining form
append/o,appendix,Combining form
angi/o,vessel,Combining form
arteri/o,artery,Combining form
ather/o,fatty plaque,Combining form
arthr/o,joint,Combining form
axill/o,armpit,Combining form
bi/o,life,Combining form
bronch/o,bronchus or bronchial tube,Combining form
carcin/o,cancer,Combining form
cardi/o,heart,Combining form
carp/o,wrist,Combining form
cephal/o,head,Combining form
cerebr/o,cerebrum,Combining form
chem/o,drug or chemical,Combining form
cholecyst/o,gallbladder,Combining form
chron/o,time,Combining form
col/o,colon,Combining form
cost/o,rib,Combining form
crani/o,skull,Combining form
cry/o,cold,Combining form
cutane/o,skin,Combining form
cyst/o,urinary bladder or fluid-filled sac,Combining form
cyt/o,cell,Combining form
dur/o,dura mater,Combining form
electr/o,electricity,Combining form
encephal/o,brain,Combining form
enter/o,"intestine, usually the small intestine",Combining form
erythr/o,red,Combining form
esophag/o,esophagus,Combining form
gastr/o,stomach,Combining form
glyc/o,sugar or glucose,Combining form
gnos/o,knowledge,Combining form
gynec/o,woman or female,Combining form
hemat/o,blood,Combining form
hepat/o,liver,Combining form
hyster/o,uterus,Combining form
inguin/o,groin,Combining form
isch/o,to hold back,Combining form
laryng/o,larynx or voice box,Combining form
later/o,side,Combining form
leuk/o,white,Combining form
mamm/o,breast,Combining form
men/o,menses,Combining form
mening/o,meninges,Combining form
my/o,muscle,Combining form
myel/o,spinal cord or bone marrow,Combining form
nat/i,birth,Combining form
necr/o,death,Combining form
nephr/o,kidney,Combining form
neur/o,nerve,Combining form
onc/o,tumor,Combining form
oophor/o,ovary,Combining form
ophthalm/o,eye,Combining form
oste/o,bone,Combining form
ot/o,ear,Combining form
path/o,disease,Combining form
pelv/o,pelvis,Combining form
peritone/o,peritoneum,Combining form
phleb/o,vein,Combining form
plas/o,"formation, growth, or development",Combining form
pneumon/o,lung,Combining form
psych/o,mind,Combining form
radi/o,X-ray or radiation,Combining form
rhin/o,nose,Combining form
salping/o,fallopian tube,Combining form
sarc/o,flesh or connective tissue,Combining form
scapul/o,shoulder blade,Combining form
septic/o,infection,Combining form
son/o,sound,Combining form
thorac/o,chest,Combining form
thyroid/o,thyroid gland,Combining form
tonsill/o,tonsil,Combining form
thromb/o,clot,Combining form
trache/o,trachea or windpipe,Combining form
ur/o,"urine, urea, or urinary tract",Combining form
urethr/o,urethra,Combining form
vascul/o,blood vessel,Combining form
-algia,pain,Suffix
-cision,process of cutting,Suffix
-dipsia,thirst,Suffix
-ectomy,surgical removal or excision,Suffix
-gram,record or image,Suffix
-oma,tumor or mass,Suffix
-opsy,viewing,Suffix
-osis,abnormal condition,Suffix
-pnea,breathing,Suffix
-rrhea,flow or discharge,Suffix
-scope,instrument for visual examination,Suffix
-scopy,process of visual examination,Suffix
-stasis,stopping or controlling,Suffix
-stomy,surgically created opening,Suffix
-tension,pressure,Suffix
-tomy,incision or process of cutting into,Suffix
a- / an-,without or not,Prefix
dia-,through or complete,Prefix
dys-,"bad, painful, difficult, or abnormal",Prefix
endo-,within or inside,Prefix
exo-,outside,Prefix
peri-,around or surrounding,Prefix
retro-,behind or backward,Prefix
sub-,below or under,Prefix
trans-,across or through,Prefix
hyper-,above normal or excessive,Prefix
hypo-,below normal or deficient,Prefix
pre-,before,Prefix
post-,after,Prefix
brady-,slow,Prefix
tachy-,fast,Prefix
